clientid,income,age,loan,default10yr
576,36266.21187,55.54236272,,0
1576,54195.01517,39.30174824,,0
818,37087.26876,57.5763008,,0
1764,45930.45265,49.99133072,,0
1878,61485.1796,60.18819954,,0
91,64275.83489,61.440913,,0
1054,36052.5776,49.49996087,,0
1779,36019.8172,42.84566569,,0
1099,41435.15375,34.92571649,,0
910,20568.89131,25.85385679,,0
1905,48031.06741,43.67016376,,0
902,66801.19751,19.13513823,,0
1348,66078.76935,45.53632503,,0
1138,20113.25349,30.13257556,,1
205,29445.5105,28.44567748,,0
1787,58028.2132,50.09548172,,0
489,48685.04202,32.53325603,,1
84,68811.77942,24.03826535,,0
650,57827.6631,23.97296825,,1
1891,57303.47976,52.15536585,,0
1762,60776.11021,34.20694181,,1
1372,45435.26724,21.04219778,,0
1267,23345.86645,38.29017484,,0
1966,29572.9759,39.2304778,,0
1296,54077.84328,57.12066029,,0
1400,20063.09958,24.27833881,,1
1074,49198.65266,49.1924227,,0
1173,64392.51221,37.80218224,,0
571,30187.09186,28.15508425,,1
290,24969.5268,45.12099322,,0
1898,21771.12934,33.68777873,,0
1777,33816.22334,60.24819138,,0
1360,22001.31745,31.61728481,,0
1565,46175.03194,36.91534391,,0
49,28416.89938,57.9287193,,0
939,62799.75061,35.36149204,,0
1490,48552.84341,29.37808354,,0
425,27028.15559,48.10959467,,0
625,50258.55302,22.54284077,1086.246165,0
455,54140.42913,30.88889273,7896.223766,1
280,48436.66463,49.02784977,5851.409789,0
813,39124.16436,44.5571086,401.3267334,0
811,41702.60077,41.94405372,6105.727929,0
722,22076.948,56.99543936,3948.143344,0
299,45677.87613,51.69305562,2966.246125,0
272,33552.38598,25.15961094,6054.244126,1
456,47548.36262,47.83910014,6153.936564,0
911,25833.71723,19.20759964,3716.254685,1
520,64913.34384,26.76631122,9781.326722,1
1674,60019.44714,19.38241478,6978.347128,0
90,33036.68312,25.06336742,958.9798221,0
862,44299.37174,24.37145815,5154.909843,0
1557,39421.36684,26.43064278,6111.961017,1
238,60521.3641,45.42499301,8035.883173,0
1092,55642.99339,38.91090684,2841.697982,0
402,50705.76626,53.20582216,1096.967075,0
248,38600.70719,44.72279622,2749.080191,0
1464,36989.58954,33.75563245,556.5559407,0
1739,58609.13148,22.09757985,4270.532996,0
727,32420.81815,32.36179216,1494.212974,0
1291,43536.03891,27.86690712,6427.726093,1
184,27793.26672,60.51690847,382.2489041,0
745,37536.34724,25.85667757,2634.358585,0
532,62321.24247,45.8902828,10649.07205,0
1578,57216.10102,31.82232807,3554.389365,0
868,28982.11236,35.26825118,1440.499168,0
1567,66941.86486,22.54073556,12380.62471,1
1571,31587.06486,56.32561627,2677.825713,0
1535,38160.1165,31.3281223,3429.901579,0
850,43205.63175,23.12587725,4835.274657,0
1457,35609.47835,47.88639354,2574.093432,0
1214,58074.60654,59.79866948,8551.259893,0
1370,65435.03538,19.84650416,12727.99755,1
2,34415.15397,48.1171531,6564.745018,0
916,55730.62923,55.15643796,9286.357545,0
424,48270.79624,45.30585103,6232.280399,0
731,64040.48418,59.14480741,5408.727767,0
1179,56696.4586,57.52025339,9686.630307,0
677,41736.20154,34.59649188,7602.613055,1
214,62658.22163,25.46316007,3343.367161,0
468,23743.16077,42.73457772,3254.74895,0
1282,65307.12748,23.72316582,1906.79553,0
802,60113.34254,40.77430558,8253.384569,0
1511,21144.56287,21.35588554,703.363923,0
198,35045.13141,28.65328366,2382.466772,0
833,40230.97571,58.79409568,745.1947491,0
1886,51286.6564,45.85982714,1134.234384,0
1709,42205.6829,23.43490545,2444.737196,0
1695,55487.14713,32.10271948,178.6924716,0
335,30216.25196,26.56371653,2116.53731,0
250,27083.82287,60.66665852,3286.212882,0
1247,56217.3265,51.58228056,2866.5859,0
656,28577.96451,21.42016018,1639.225639,0
1253,40929.48394,20.25460597,2352.287116,0
611,24294.67689,22.26309561,4360.053009,1
358,60122.01157,62.90960494,7189.350735,0
1964,28858.59887,23.69458972,3764.815174,1
179,67465.06239,23.61105385,1802.616994,0
888,29366.58233,22.48404853,4049.253865,1
973,32759.70028,43.88045936,5211.32563,0
1140,59208.71608,30.93115193,11479.43781,1
633,53096.9914,36.35007538,2663.052609,0
928,54878.08965,42.88355929,1504.473462,0
1811,56630.39526,57.97316146,8442.891373,0
1926,45917.60069,45.15712066,8253.273858,0
1688,36219.77291,56.83890067,4280.794199,0
1732,28700.87259,28.79704182,5090.310491,1
1153,53287.38502,59.55992485,4432.665444,0
778,39473.99586,42.30125384,6034.153228,0
279,20622.8601,30.4140331,3518.452629,1
1768,51903.53425,59.76266204,8807.867971,0
570,57856.80823,33.68215095,8824.164747,1
115,41302.67418,38.66061858,1379.913124,0
1789,36565.80389,19.89940228,1888.334736,0
1968,45576.83836,38.67104976,4952.653346,0
269,25685.5352,39.00918946,490.7429211,0
1035,53810.84766,51.43297298,9154.477015,0
1797,43052.96856,31.52685355,488.9372735,0
1102,34635.74475,18.9473467,4859.235287,1
761,29954.00451,61.83684471,5774.07427,0
1219,35145.10019,47.79338272,510.7399689,0
601,40484.97132,39.28143317,1093.679203,0
578,64467.80368,63.40058921,521.5757014,0
413,43509.75776,18.07533586,7363.037639,1
694,59253.12146,36.92041154,7327.283577,0
1846,45382.8079,42.51634459,2742.454975,0
289,66179.32411,48.12079915,3646.93786,0
171,31422.74739,53.89808021,1686.835902,0
266,45587.55184,62.02213807,8366.614268,0
1292,69181.66406,39.23658259,1173.740942,0
1159,47474.8196,37.87464495,5083.728272,0
1667,43974.84053,47.43241103,8371.493105,0
1258,25008.94953,63.21714847,2941.028155,0
1377,60624.81537,39.85778773,6740.716136,0
1901,24791.1867,39.64327145,4844.680983,0
1231,45986.3534,20.2872954,7112.926157,1
1532,60302.559,52.18494901,6509.698608,0
1465,33198.12828,30.14201203,4285.386912,1
1825,68648.2414,27.92001002,9425.707309,1
1998,44311.44926,28.0171669,5522.786693,1
580,58797.76286,53.40343367,8892.963303,0
762,40641.52302,37.66419864,5042.326368,0
20,58887.35755,26.07609302,4965.516066,0
342,36366.99041,47.19141009,371.040895,0
1967,21982.01737,34.91551629,4265.173704,1
429,62678.64545,25.83939413,333.4413981,0
444,33572.4235,57.44221936,3369.377023,0
143,28239.54321,26.19220966,4189.832568,1
1954,58780.2335,18.70173368,5029.707636,0
1356,62657.60254,28.17425706,5771.088254,0
1568,31022.14485,39.17585766,6144.939436,0
920,28085.4796,45.03212598,4431.280471,0
717,54049.01274,54.62035318,4569.647911,0
1852,40522.82828,63.88714083,7720.780489,0
206,25817.38988,37.94548019,4115.484719,0
720,51894.5401,59.0037683,6579.534007,0
1055,24820.79247,38.24401685,51.94924278,0
400,24037.16514,23.31157432,2469.364426,0
820,40185.77567,31.00076808,1002.340574,0
1945,35879.51999,41.07293472,5335.403499,0
925,26889.36474,62.62510846,675.7120311,0
651,20346.46905,35.71607365,656.0331879,0
1195,67528.65421,52.88850155,7877.415131,0
689,46365.57352,41.85261305,5443.276307,0
653,51915.67978,44.10910349,2282.911022,0
980,62842.06439,62.19707882,107.5972315,0
1358,59514.01238,57.01784581,2504.722649,0
406,68147.95732,22.98439448,12307.56232,1
757,38381.41306,54.08337144,322.7241556,0
487,68052.80692,28.75880168,1415.718263,0
1893,68339.80794,23.36532355,2505.868398,0
337,47288.42667,62.42846686,4004.988852,0
1579,29849.96714,39.92872415,3678.899676,0
1364,32866.57824,44.88061703,6037.007733,0
1221,42059.6369,55.29068575,5310.271529,0
1128,21448.82799,31.79518831,1989.182976,0
679,28796.85084,44.62864841,706.2289942,0
966,52920.14801,20.99096653,9521.769942,1
1594,37261.44712,23.71839249,2075.519822,0
1060,48818.38232,49.29612194,2312.421777,0
1529,31135.60771,19.00967065,2457.91369,0
569,56110.93994,62.82941483,9351.006131,0
1288,48192.18561,29.75531818,5026.474557,0
482,56282.98253,62.3698886,8215.558384,0
1080,39494.76692,28.5471422,3544.156039,0
874,54619.15536,53.59786282,901.2777768,0
481,66049.93403,29.3157674,13172.6813,1
1024,68414.12078,51.04678129,6154.052457,0
1655,32441.65201,58.70955658,840.7142066,0
1634,30084.15883,18.45082514,737.2537244,0
497,59998.25327,54.30892681,4659.535976,0
582,48271.49838,21.66234102,6077.680287,1
1783,37162.88822,28.87660671,3110.531147,0
1121,66068.63504,35.91878387,5626.86934,0
1693,31920.41272,52.15906047,217.1879621,0
843,60005.01013,40.19488899,10677.66802,0
734,22581.13397,40.54886181,34.28510582,0
1189,21921.36108,62.3272301,1901.143922,0
275,57562.89174,56.60056735,8508.835399,0
1032,52983.87446,42.58806976,5567.941087,0
430,41602.43398,25.25986939,,1
1894,49292.30314,20.62232701,,0
1082,55649.05588,19.66450149,,1
926,30873.21764,38.95273955,,0
724,26316.75849,37.217654,,0
1581,29775.14222,21.03497172,,0
654,54625.50698,31.69645567,,1
517,66003.95999,33.07351468,,1
306,50480.95269,27.08039063,,1
309,60153.33697,20.30086013,,0
863,44091.34923,30.48523032,,0
453,63653.83991,27.51536888,,1
387,34475.21797,42.30791846,,0
1206,50289.66475,24.0740542,,1
86,44930.39417,19.77738585,,1
1252,44932.87511,27.14705773,,0
628,23886.56761,34.44297279,,1
730,43538.85612,46.32941211,,0
